"screenName","id","time","isRetweet","isPinned","isReplyTo","text","hashtags__hashtag","hashtags__indices__001","hashtags__indices__002","userMentions__screenName","userMentions__indices__001","userMentions__indices__002","urls__url","urls__indices__001","urls__indices__002","images__001","images__002","images__003","images__004","replyCount","retweetCount","favoriteCount","quote__screenName","quote__id","quote__text"
"MarsWxReport","1110212238151958528","2019-03-25T16:09:58.000Z","False","False","False","InSight sol 114 (2019-03-23) low -96.8ºC (-142.2ºF) high -15.5ºC (4.1ºF)\npressure at 7.30 hPa","","","","","","","","","","https://pbs.twimg.com/media/D2hEJWsX0AANVSM.jpg","","","","1","5","14","","",""
"MarsWxReport","1109827010522742785","2019-03-24T14:39:13.000Z","False","False","False","InSight sol 113 (2019-03-22) low -96.7ºC (-142.0ºF) high -15.3ºC (4.4ºF)\npressure at 7.20 hPa","","","","","","","","","","https://pbs.twimg.com/media/D2blyJYXQAAgsTX.jpg","","","","2","8","25","","",""
"MarsWxReport","1108174189884780544","2019-03-20T01:11:30.000Z","False","False","False","InSight has detected microseisms for the first time on another planet https://www.hou.usra.edu/meetings/lpsc2019/pdf/2246.pdf …","","","","","","","https://www.hou.usra.edu/meetings/lpsc2019/pdf/2246.pdf","70","125","https://pbs.twimg.com/media/D2EGjRDXcAE7fFH.jpg","","","","0","11","35","","",""
"MarsWxReport","1107638837151481856","2019-03-18T13:44:12.000Z","False","False","False","InSight sol 108 (2019-03-17) low -96.1ºC (-140.9ºF) high -14.4ºC (6.1ºF)\nwinds from the SW at 4.4 m/s (9.9 mph) gusting to 11.5 m/s (25.8 mph)\npressure at 7.20 hPa","","","","","","","","","","https://pbs.twimg.com/media/D18fptlX0AMIzi3.jpg","","","","0","7","13","","",""
"MarsWxReport","1107638794939973638","2019-03-18T13:44:02.000Z","False","False","False","InSight sol 107 (2019-03-16) low -96.1ºC (-141.0ºF) high -15.8ºC (3.6ºF)\nwinds from the SW at 4.1 m/s (9.1 mph) gusting to 10.4 m/s (23.3 mph)\npressure at 7.20 hPa","","","","","","","","","","","","","","1","2","12","","",""
"MarsWxReport","1106959064616046592","2019-03-16T16:43:01.000Z","False","False","False","InSight sol 106 (2019-03-15) low -96.3ºC (-141.4ºF) high -15.9ºC (3.3ºF)\nwinds from the SW at 4.1 m/s (9.3 mph) gusting to 12.4 m/s (27.8 mph)\npressure at 7.20 hPa","","","","","","","","","","https://pbs.twimg.com/media/D1y1ZvvWkAI7nXu.jpg","","","","1","7","23","","",""
"MarsWxReport","1106722961808154624","2019-03-16T01:04:50.000Z","False","False","False","InSight sol 105 (2019-03-14) low -95.7ºC (-140.3ºF) high -14.7ºC (5.6ºF)\nwinds from the SW at 4.1 m/s (9.3 mph) gusting to 10.3 m/s (23.0 mph)\npressure at 7.20 hPa","","","","","","","","","","https://pbs.twimg.com/media/D1veqvbW0AEG8T-.jpg","","","","0","7","24","","",""
"MarsWxReport","1106262813591457793","2019-03-14T18:36:22.000Z","False","False","False","InSight sol 104 (2019-03-13) low -96.1ºC (-141.0ºF) high -14.4ºC (6.1ºF)\nwinds from the WNW at 4.2 m/s (9.5 mph) gusting to 11.1 m/s (24.8 mph)\npressure at 7.20 hPa","","","","","","","","","","https://pbs.twimg.com/media/D1o8KlyWkAAjHdR.jpg","","","","0","15","43","","",""
"MarsWxReport","1106262780783575043","2019-03-14T18:36:14.000Z","False","False","False","InSight sol 103 (2019-03-12) low -95.8ºC (-140.4ºF) high -19.1ºC (-2.3ºF)\nwinds from the WNW at 4.9 m/s (10.9 mph) gusting to 14.0 m/s (31.2 mph)\npressure at 7.20 hPa","","","","","","","","","","","","","","1","6","14","","",""
"MarsWxReport","1105451804551200768","2019-03-12T12:53:43.000Z","False","False","False","InSight sol 102 (2019-03-11) low -96.8ºC (-142.2ºF) high -17.0ºC (1.4ºF)\nwinds from the SW at 4.8 m/s (10.7 mph) gusting to 12.7 m/s (28.4 mph)\npressure at 7.30 hPa","","","","","","","","","","https://pbs.twimg.com/media/D1dajqfXgAA7eWL.jpg","","","","0","8","16","","",""
